"","Species","chao","chao.se","jack1","jack1.se","jack2","boot","boot.se","n","W_Ecosystm","repres"
"1",11,26.1578947368421,15.649909507407,18.5789473684211,4.72630406750393,24.046783625731,14.1055538574564,2.73311847300294,19,"Cool Temperate Moist Cropland on Mountains",0.420523138832998
"2",10,13.8,5.04579032461714,13.8,2.3473389188611,15.6947368421053,11.7693164879693,1.64871001212067,20,"Cool Temperate Moist Forest on Mountains",0.72463768115942
"3",10,46.45,44.2215162562298,18.1,6.71490878567982,24.5888888888889,13.2454801433,3.49203198612862,10,"Cool Temperate Moist Grassland on Mountains",0.215285252960172
"4",12,18.8571428571429,6.49018096662888,18.8571428571429,4.97339862443692,22.1904761904762,15.0987914413698,3.28782386998438,7,"Cool Temperate Moist Shrubland on Mountains",0.636363636363636
"5",5,6.95121951219512,3.65691020760806,6.95121951219512,1.96337676073152,7.92621951219512,5.89987002658049,1.03149798770251,41,"Polar Moist Forest on Mountains",0.719298245614035
"6",61,92.728813559322,17.6457528624358,84.7966101694915,8.55401748700896,99.6179921773142,71.4546565604133,4.84002282653477,118,"Polar Moist Grassland on Mountains",0.65783220617803
"7",28,52.325,18.4745813552026,41.9,4.87127146793173,51.7855087358684,33.978811037179,3.12702981434331,140,"Polar Moist Shrubland on Mountains",0.535117056856187
"8",2,2.98507462686567,2.01282145547697,3.97014925373134,1.39310589726305,5.91044776119403,2.73023374105523,0.677896069994792,67,"Sub Tropical Dry Forest on Mountains",0.67
"9",46,72.0274128808611,13.8154910658323,70.9863163656267,8.18227668287869,83.9786499333653,57.0004401127194,4.69545923503397,1827,"Sub Tropical Moist Forest on Mountains",0.638645734452347
"10",15,27.037037037037,10.3061004481418,24.6296296296296,6.62869846553988,30.3276353276353,19.1519244068004,3.83492709984786,27,"Warm Temperate Dry Cropland on Mountains",0.554794520547945
"11",3,3.75,1.63745228938128,4.5,1.62018517460197,5.5,3.63671875,0.93794748434997,4,"Warm Temperate Dry Cropland on Plains",0.8
"12",5,14.3333333333333,9.3828145725217,9.66666666666667,4.79814779078576,14,6.77632183247072,2.39296675903395,15,"Warm Temperate Dry Forest on Mountains",0.348837209302326
"13",9,42.8823529411765,24,17.4705882352941,4.59878124369225,25.4117647058824,12.2110757527166,2.19157521055742,17,"Warm Temperate Dry Grassland on Mountains",0.209876543209877
"14",37,56.404,14.2226164681468,50.86,5.05978260402559,59.7294949494949,42.9964537000563,3.02336420023147,100,"Warm Temperate Moist Cropland on Mountains",0.655981845259202
"15",131,165.545632449742,14.5324187170905,169.974559686888,7.6769844115041,186.966722530781,149.240652484335,4.96309747574683,1533,"Warm Temperate Moist Forest on Mountains",0.791322598255621
"16",25,49.4363636363636,17.1215508681962,40.2727272727273,6.12271208744827,50.4891774891775,31.4676185000753,3.47587141842482,22,"Warm Temperate Moist Grassland on Mountains",0.505700625229864
"17",4,8.8,5.61297198865757,7.2,3.48711915483254,9.6,5.31072,1.87746986170218,5,"Warm Temperate Moist Settlement on Mountains",0.454545454545455
"18",11,22.9276315789474,12.8202205473335,17.8157894736842,3.53249654719657,22.6038406827881,13.8850654860686,1.99742240173147,38,"Warm Temperate Moist Shrubland on Mountains",0.479770444763271
